AnimalID,WP.Side,Whisker.Position,Count,Rep
Aco1,LWP,A1,164,1
Aco1,RWP,A1,159,1
Aco1,LWP,A2,148,2
Aco1,RWP,A2,145,2
Aco1,LWP,B2,140,3
Aco1,RWP,B2,143,3
Aco1,LWP,C1,130,4
Aco1,RWP,C1,145,4
Aco1,LWP,D5,120,5
Aco1,RWP,D5,126,5
Aco1,LWP,E2,120,6
Aco1,RWP,E2,125,6
Aco1,LWP,E6,97,7
Aco1,RWP,E6,102,7
Aco2,LWP,A1,153,8
Aco2,RWP,A1,160,8
Aco2,LWP,A2,150,9
Aco2,RWP,A2,154,9
Aco2,LWP,B2,160,10
Aco2,RWP,B2,151,10
Aco2,LWP,B3,135,11
Aco2,RWP,B3,133,11
Aco2,LWP,C2,127,12
Aco2,RWP,C2,130,12
Aco2,LWP,C3,134,13
Aco2,RWP,C3,136,13
Aco2,LWP,D1,130,14
Aco2,RWP,D1,131,14
Aco2,LWP,D2,129,15
Aco2,RWP,D2,124,15
Aco2,LWP,E2,128,16
Aco2,RWP,E2,127,16
Aco3,LWP,B2,163,17
Aco3,RWP,B2,157,17
Aco3,LWP,B3,168,18
Aco3,RWP,B3,154,18
Aco3,LWP,C2,143,19
Aco3,RWP,C2,141,19
Aco3,LWP,C4,140,20
Aco3,RWP,C4,146,20
Aco3,LWP,D1,122,21
Aco3,RWP,D1,127,21
Aco3,LWP,D2,119,22
Aco3,RWP,D2,121,22
Aco3,LWP,E3,111,23
Aco3,RWP,E3,124,23
